# Constructed from biom file
#OTU ID	sample-1	sample-2	taxonomy
1de5dade8cff39b37bc9c425f1458eaf	0.0	7465.0	k__Fungi
28aa261b04f1e18b21fdf0f4055f1154	3740.0	0.0	k__Fungi
a7394bbcd32874989f5af884c0d59584	0.0	2003.0	k__Fungi
0d52d9f53ede9b720f50fb51b70900e0	92.0	1873.0	k__Fungi
d4f32b26112cd7bccaa362c43ad50539	1553.0	0.0	k__Fungi
8abb8a09db91860374e7cfba88fa5065	158.0	1382.0	k__Fungi
dd76a8b22437c83a23db5dfa2ff92d29	0.0	1312.0	k__Fungi
4821276897c93bef2917b6b68e0f484d	0.0	742.0	k__Fungi
8826761ba0c9f7b19def61d5ff42e8f5	524.0	0.0	k__Fungi
991c8dc0cc024f6b7376247d20f51de4	0.0	446.0	k__Fungi
ea1f0aef8dde2a22a6586bd0780b8cbd	380.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
92b5c95c4c65df4a5a284fc4af14bbed	0.0	334.0	k__Fungi
50c0437a3d5c8a2a22848176a5f690a8	0.0	318.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
d6f39bff1f1537c67115f343464a897e	0.0	314.0	k__Fungi
0168b9c5aa84aa961bca9d6a034ea8c9	125.0	0.0	k__Fungi
2b49f169b4ca4632f9eef88663721d75	0.0	85.0	k__Fungi
23a77aea572aadff9a00f19c35f742b6	79.0	0.0	k__Fungi
96d7a84257267807873323d7939f4286	74.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
87eb749a8f3f7771d76b1af37cc8a83e	61.0	0.0	k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
5d2825bdd71c5cdebdac54d0faac0080	53.0	0.0	k__Fungi
92d491b86e617a6f1f21c8ad04ae13a3	46.0	0.0	k__Fungi
4e35f48b915703010c49f0d3b5329162	42.0	0.0	k__Fungi
f627e365f5dcaa0cd255df4043964bea	17.0	0.0	k__Fungi; p__Ascomycota
